time,distance,speed,accelerationX,accelerationY,accelerationZ,speedLimit,speedDifference,speedSeverity
0,0,0,-0.003571547,1.20536911,0.070221886,0,0,0
0.02,-0.00000012,0,-0.00608926,0.023422718,0.002043533,0,0,0
0.03,0.00011133,0.9726432,0.006774177,-0.132225931,-0.733629644,0,0.97,0
0.05,0.00097505,5.18459845,0.122979023,-0.037061807,-1.559823,0,5.18,0
0.07,0.00277659,7.5196867,0.18952556,0.030413378,-0.332907379,0,7.52,0
0.09,0.0055178,9.762905,0.024772363,0.160601422,-0.807956159,0,9.76,0
0.1,0.0083079,13.3807335,0.03338613,-0.03924657,-1.05407107,0,13.38,0
0.12,0.01256718,17.0729446,-0.178330362,0.115011148,-1.20200646,0,17.07,0
0.13,0.01753656,18.247385,0.353488624,0.004098664,0.001078966,0,18.25,0
0.15,0.02259412,17.8780556,-0.05489462,0.5221736,0.147165775,0,17.88,0
0.17,0.02777892,18.6132526,0.126994178,-0.106913,-0.420890152,0,18.61,0
0.19,0.03386547,18.65129,-0.377271265,-0.5415827,-0.2745916,0,18.65,0
0.2,0.03870153,17.61919,-0.38661167,-0.09241535,0.100680776,0,17.62,0
0.22,0.04356238,17.0667667,0.089820415,1.05373216,0.548168361,0,17.07,0
0.24,0.04829839,16.2008152,0.2724433,0.002594855,0.188855171,0,16.2,0
0.25,0.05304103,18.2911053,0.03731221,0.185751349,-1.0425384,0,18.29,0
0.27,0.05850799,21.3484821,0.040006183,-0.697766,-0.5566318,0,21.35,0
0.29,0.06482957,23.3620644,-0.5628276,2.24670577,-0.21343261,0,23.36,0
0.31,0.07174937,24.6828861,-0.441124052,-0.802066445,-0.358068854,0,24.68,0
0.32,0.07902956,28.64099,-0.06407768,-1.60030425,-1.38004112,0,28.64,0
1.02,0.58415533,55.43764,-0.119980976,-0.050105967,-0.584209,50,5.44,0.11
1.04,0.60377062,57.54641,0.6934839,0.019240428,-0.540542364,50,7.55,0.15
1.05,0.61628954,59.3618469,-0.158808336,-0.101013988,-0.5032273,50,9.36,0.19
2.22,2.29299165,86.35413,-0.070932776,0.041974146,0.5970526,70,16.35,0.23
2.23,2.30825771,82.74683,0.42630145,0.042434085,1.62232435,70,12.75,0.18
2.25,2.334937,74.4470139,0.5337642,-0.163385481,1.82965374,70,4.45,0.06
2.26,2.35378984,68.2874451,0.548819661,0.002183616,2.388422,70,-1.71,0
2.28,2.36587926,58.0460625,-0.026670612,0.015805865,2.26606727,50,8.05,0.16
2.87,3.04365687,88.1576,0.8798278,0.07630072,-0.3066679,80,8.16,0.1
2.88,3.06277822,89.257,-0.240205869,-0.004732843,-0.291023374,80,9.26,0.12
2.9,3.08773186,89.87181,-0.152601823,0.006783992,-0.2188654,80,9.87,0.12
