time,distance,speed,accelerationX,accelerationY,accelerationZ,speedLimit,speedDifference,speedSeverity
0,0,4.530215,-4.89668E-05,0.007123313,0.4486093,80,-75.47,0
0.02,0.00117142,3.57961869,0.001255552,0.006589708,0.390399128,80,-76.42,0
0.04,0.00207803,2.32772446,0.001044425,0.000504238,0.244688243,80,-77.67,0
0.05,0.00275801,2.45802569,-0.001534085,-0.07046068,-0.3597578,80,-77.54,0
0.07,0.00361187,4.29780531,0.000130584,0.005277934,-0.6135093,80,-75.7,0
0.08,0.00508872,6.29317951,0.003324223,0.002631856,-0.5087746,80,-73.71,0
0.1,0.00695856,6.983759,0.000838301,0.016672801,0.042477172,80,-73.02,0
0.12,0.00895929,7.3498044,-0.00174154,0.012882607,-0.41137585,80,-72.65,0
0.14,0.0112691,9.19813,-0.000240203,-0.008974219,-0.5778497,80,-70.8,0
0.15,0.0141186,11.0749874,0.000203723,0.007053659,-0.51566714,80,-68.93,0
0.17,0.01731124,11.8204193,-0.000273862,0.0039693,-0.044736765,80,-68.18,0
0.19,0.02206295,12.828207,5.6533E-05,-0.002009713,-0.4646387,80,-67.17,0
0.21,0.02608931,14.9132395,-2.26897E-05,-0.000651992,-0.520122051,80,-65.09,0
0.23,0.03043963,16.4404,0.204622239,-0.017140972,-0.478484154,80,-63.56,0
0.24,0.03528957,17.9970379,-0.012132654,0.003145111,-0.40306747,80,-62,0
0.26,0.04134839,18.6614037,-0.013274762,0.004574562,-0.06059214,80,-61.34,0
0.28,0.04618899,18.9761047,0.3657223,0.029539798,-0.151178584,80,-61.02,0
0.29,0.04910132,19.6403751,-0.037000492,0.007149842,-0.1776441,90,-70.36,0
0.3,0.05463935,20.1936073,-0.09386934,-0.00268056,-0.162749037,90,-69.81,0
0.33,0.06291959,20.7807941,-0.076824486,-0.019274352,-0.162348449,90,-69.22,0
0.34,0.06852546,21.3509827,-0.073128276,-0.002638075,-0.165364057,90,-68.65,0
0.36,0.07466274,21.92853,-0.24941431,0.021341473,-0.180960134,90,-68.07,0
0.38,0.08080701,22.6670113,-0.448018432,-0.000247633,-0.2068105,90,-67.33,0
0.39,0.08713811,23.3773556,0.07237878,0.005232504,-0.177575454,90,-66.62,0
0.41,0.09384433,23.9606686,0.476946622,0.000893917,-0.17552115,90,-66.04,0
0.43,0.10048966,24.61431,0.505619466,0.009645272,-0.158972308,90,-65.39,0
0.44,0.10745892,25.0675583,-0.137277082,0.004982488,-0.110341571,90,-64.93,0
0.45,0.11186872,25.4103088,-0.105776466,-0.004689359,-0.102516353,90,-64.59,0
0.47,0.11896284,25.9240437,0.346881241,0.026499938,-0.174279377,90,-64.08,0
0.49,0.12631209,26.7272434,-0.149419919,0.007612713,-0.269446522,90,-63.27,0
0.51,0.13402552,27.7204914,-0.09418394,0.034624897,-0.352305084,90,-62.28,0
0.52,0.14195368,29.0218678,-0.164777219,0.062634945,-0.3644134,90,-60.98,0
0.55,0.15401547,29.7364979,-0.194290519,-0.019818058,-0.165209517,90,-60.26,0
0.56,0.16194222,30.2767162,-0.212147653,0.035014853,-0.152998209,90,-59.72,0
0.58,0.17042629,30.8697643,-0.302958429,0.022599716,-0.2004416,90,-59.13,0
0.6,0.17897319,32.1165962,-0.117443636,0.064767465,-0.439661115,90,-57.88,0
0.61,0.18824351,33.708168,-0.115909263,-0.015785903,-0.45868203,90,-56.29,0
0.63,0.19828124,35.3192,-0.012161015,-0.033642188,-0.449469179,90,-54.68,0
0.65,0.20769433,36.9347572,-0.07569539,-0.016156655,-0.427821845,90,-53.07,0
0.66,0.21837469,38.3822327,-0.07956498,-0.002683845,-0.402460784,90,-51.62,0
0.68,0.22913852,39.66366,-0.1164331,0.004563663,-0.3484826,90,-50.34,0
0.7,0.24053711,40.7181168,-0.07466351,0.00662438,-0.308026135,90,-49.28,0
0.71,0.25219896,41.60084,-0.038218476,-0.001986332,-0.246265665,90,-48.4,0
0.73,0.26445613,42.28853,-0.004158331,0.009883834,-0.191360429,90,-47.71,0
0.74,0.27135706,42.7914772,0.050469376,0.009431817,-0.08764425,90,-47.21,0
0.76,0.28334445,42.8327141,0.032841444,0.002615693,0.0369125,90,-47.17,0
0.77,0.29529072,42.4132462,-0.0996263,-0.011561202,0.200128958,90,-47.59,0
0.79,0.30698849,41.55875,-0.054779682,-0.012432241,0.2612313,90,-48.44,0
0.81,0.31870629,40.7517052,-0.033959866,0.001288003,0.237695739,90,-49.25,0
0.83,0.33457469,40.220974,-0.09022286,0.010926968,0.103519805,90,-49.78,0
0.84,0.34122584,39.9939041,-0.06396123,-0.002472998,0.063858695,90,-50.01,0
0.87,0.35819134,39.7915878,-0.035816528,0.000746143,0.038589127,90,-50.21,0
0.87,0.36340556,39.7473564,-0.09788781,-0.029539261,0.016770102,90,-50.25,0
0.89,0.37451391,39.75573,0.016100539,-0.011449597,-0.018873949,90,-50.24,0
0.91,0.38563658,40.0084572,0.000173512,-0.003508896,-0.1092401,90,-49.99,0
0.93,0.39791404,40.6464,-0.000379574,-0.003714643,-0.175795838,90,-49.35,0
0.94,0.40934529,41.2491,0.000541589,0.000755706,-0.19476518,90,-48.75,0
0.96,0.42400136,42.1029625,-8.9732E-05,-1.78057E-05,-0.194078535,90,-47.9,0
0.98,0.43331747,42.58894,0.000406421,0.000391122,-0.191927016,90,-47.41,0
0.99,0.4455566,43.21606,0.000192863,5.41279E-05,-0.1885967,90,-46.78,0
1.01,0.45752123,43.88745,0.000241904,0.000198379,-0.185220569,90,-46.11,0
1.03,0.469812,44.51767,-0.086508006,-0.043710813,-0.175858945,90,-45.48,0
1.04,0.4825829,45.1026726,-0.030061219,-0.000465067,-0.170073748,90,-44.9,0
1.06,0.496001,45.7819366,-0.017223526,-0.004650509,-0.164574623,90,-44.22,0
1.08,0.50810854,46.2711372,-0.009256111,0.002791376,-0.138509661,90,-43.73,0
