time,distance,speed,accelerationX,accelerationY,accelerationZ,speedLimit,speedDifference,speedSeverity
0,0,0,0.001663966,0.025245441,-0.010076146,0,0,0
0.01,-0.00000003,0,0.000728058,0.002244498,-0.00096321,0,0,0
0.02,-0.00000003,0,0.000364693,0.00146932,0.000141383,0,0,0
0.04,0.00016715,1.0512563,0.002502236,-0.082171775,-0.7445615,0,1.05,0
0.06,0.00103377,5.02437162,0.142365262,-0.039804563,-1.54154515,0,5.02,0
0.07,0.00246722,7.306385,0.185880378,0.001912137,-0.292434543,0,7.31,0
0.09,0.00502997,9.124436,0.2760268,-0.013425581,-0.695717037,0,9.12,0
0.12,0.01018995,13.7805328,0.05078619,-0.045406,-1.09011745,0,13.78,0
0.13,0.01260121,17.9582329,0.2194871,0.01901323,-1.38309634,0,17.96,0
0.15,0.01813766,21.7058315,0.04350729,0.366457343,-0.2982508,0,21.71,0
0.17,0.02550589,21.0774746,0.3415211,0.438386649,0.6248579,0,21.08,0
1.5,0.96417401,80.5792,0.017630346,0.036186833,-0.353922248,90,-9.42,0
1.52,0.98697672,81.8139648,0.057885885,0.025436364,-0.350843579,90,-8.19,0
1.53,1.00982559,82.36953,1.116527,0.05246929,-0.03245618,90,-7.63,0
1.55,1.03036001,82.63923,-0.07055894,0.009557506,-0.157877028,90,-7.36,0
1.57,1.05365417,83.41817,0.055933222,-0.00754299,-0.228020683,90,-6.58,0
1.59,1.08086244,84.30401,0.030123923,0.011274024,-0.250268936,90,-5.7,0
1.6,1.10352263,85.11797,0.009232389,-0.000941436,-0.2499828,90,-4.88,0
1.62,1.12474647,86.00367,9.22684E-05,-0.003507809,-0.249879837,90,-4,0
1.63,1.14872035,86.781105,0.06199366,0.021508224,-0.243241936,90,-3.22,0
1.65,1.17300641,87.55546,0.061934557,0.014438327,-0.24627474,90,-2.44,0
1.67,1.19746239,88.35171,0.136590928,-0.034982186,-0.24011755,90,-1.65,0
1.69,1.22524211,89.28061,0.05227072,0.002806616,-0.239831418,90,-0.72,0
1.7,1.25088587,89.97677,0.09061724,-0.037026957,-0.144978985,90,-0.02,0
1.72,1.27571173,90.21088,0.4657449,0.08341409,0.006455293,90,0.21,0
1.74,1.30059775,90.0500641,-0.06311453,0.028884077,0.06867932,90,0.05,0
1.75,1.32558026,89.82398,0.8679509,0.03880605,0.036989365,90,-0.18,0
1.77,1.35068145,89.82667,-0.2055624,-0.265275329,-0.032078512,90,-0.17,0
1.79,1.37598155,89.99638,-0.132878944,-0.033691026,-0.03958614,90,0,0
1.8,1.40144794,90.11955,-0.049309008,0.008545063,-0.011237982,90,0.12,0
1.82,1.42607213,90.0574646,-0.087302715,0.009834762,0.035032336,90,0.06,0
1.84,1.45129854,89.95259,-0.12488924,-0.145062864,0.02425157,90,-0.05,0
1.85,1.47650521,89.916626,-0.045371477,0.00401573,-0.007541393,90,-0.08,0
1.87,1.50231597,89.9841,-0.045335285,-0.000197664,-0.026356235,90,-0.02,0
1.88,1.52409374,90.0388,-0.054604624,0.010517429,-0.012599889,90,0.04,0
1.9,1.5491547,90.03995,0.136201,-0.110199288,0.002117803,90,0.04,0
1.92,1.57808387,89.9859848,-0.07587393,0.002352264,0.011639672,90,-0.01,0
1.94,1.60362563,89.95595,-0.09847566,0.007668399,0.005001836,90,-0.04,0
1.95,1.62461864,89.98417,-0.05428783,-0.005241568,-0.013217888,90,-0.02,0
1.97,1.64962023,90.02725,-0.018954208,-8.28E-06,-0.007278168,90,0.03,0
1.99,1.6750275,90.0243,0.015749518,-0.02502295,0.004280828,90,0.02,0
2,1.70290438,89.987854,-0.08649069,0.029576566,0.006798628,90,-0.01,0
2.02,1.72502544,89.98005,-0.058015727,-0.000214874,-0.004817593,90,-0.02,0
2.04,1.75027278,90.0010147,-0.01172054,0.006487891,-0.005447044,90,0,0
2.05,1.77537429,90.00982,-0.013526567,0.001495498,0.000309564,90,0.01,0
2.07,1.80074805,89.98133,-0.234884232,0.09567946,0.028211378,90,-0.02,0
2.09,1.83034208,89.8305359,0.1331778,0.029460058,0.10906712,90,-0.17,0
2.1,1.85125068,89.38601,0.205045119,-0.01502174,0.101673946,90,-0.61,0
