time,distance,speed,accelerationX,accelerationY,accelerationZ,speedLimit,speedDifference,speedSeverity
0,0,0.000323089,-0.005406717,0.020792754,-0.004265336,0,0,0
0.02,0.00000002,0,0.000911841,0.004240105,0.000455359,0,0,0
0.03,0.00000001,0,-4.14E-05,-9.17E-05,7.49835E-06,0,0,0
0.05,0.00000001,0,3.1421E-05,-0.000143476,-3.00E-05,0,0,0
0.07,0.00000001,0,1.35945E-05,-0.000360095,2.91195E-05,0,0,0
0.08,0,0,-2.11E-05,0.000450947,4.90302E-05,0,0,0
0.1,0,0,-1.59E-05,0.000508569,4.0317E-05,0,0,0
0.12,0,3.06805E-06,1.2789E-05,-0.000291513,-2.84E-05,0,0,0
0.13,0.00007912,0.5691399,0.000678032,0.009053498,-0.390265048,0,0.57,0
0.15,0.00048782,2.32715487,0.04779354,-0.001843385,-0.5315548,0,2.33,0
0.17,0.00143698,4.243915,0.1410844,-0.003308234,-0.500138164,0,4.24,0
0.19,0.00290106,5.543787,0.103656344,-0.003799061,-0.3295178,0,5.54,0
0.2,0.00401028,6.575163,0.00653163,-0.009123927,-0.248668492,0,6.58,0
0.21,0.00595225,7.25490141,-0.010300263,0.006166308,-0.150240988,0,7.25,0
0.24,0.00859128,7.69475031,-0.03686972,-0.004028297,-0.112174973,0,7.69,0
0.25,0.01080336,8.027894,-0.012749519,0.015195358,-0.07886131,0,8.03,0
0.27,0.01319332,8.727401,-0.00463828,0.006486745,-0.458437026,0,8.73,0
0.29,0.01573296,9.234651,-0.0226359,0.006143359,0.031973448,0,9.23,0
0.3,0.01874851,12.3908558,0.052822392,-0.038732175,-1.51861274,0,12.39,0
0.32,0.02283836,17.2636147,0.410286576,0.5154116,-0.7040485,0,17.26,0
0.34,0.02779106,18.077734,-0.203160763,0.2925198,-0.3936837,0,18.08,0
0.35,0.03291996,18.1263084,-0.718997657,-0.7833619,-0.242129281,0,18.13,0
0.37,0.03794455,17.7280254,-0.067968205,-0.136959508,-0.029489486,0,17.73,0
0.39,0.04292315,17.3806248,0.05499317,0.981724441,0.371662,0,17.38,0
0.4,0.04762755,16.6270771,0.251209617,0.175889552,-0.147391319,0,16.63,0
0.42,0.05256525,18.4681416,0.5237792,1.11729681,-0.6088785,0,18.47,0
0.44,0.05790197,18.022234,-0.384844571,-0.1285015,1.35872555,0,18.02,0
0.45,0.06190394,11.171505,-0.1884157,-0.659605145,1.41844308,0,11.17,0
0.47,0.06485327,10.2998447,0.03415113,-0.870764434,-0.251389533,0,10.3,0
0.49,0.06787542,11.1169434,0.108763859,0.001940686,-0.3808673,0,11.12,0
0.5,0.07157708,15.4817905,-0.200002223,-0.073774554,-1.8301394,0,15.48,0
0.52,0.07656372,19.5463581,-0.10488151,0.931815743,-0.7673143,0,19.55,0
0.54,0.08237263,21.7003231,-0.121560343,0.028076537,-0.547167063,0,21.7,0
0.56,0.08855397,22.67223,0.025446313,-0.6670197,0.154564276,80,-57.33,0
0.57,0.09492246,22.68201,0.019896694,0.214504391,-0.303460926,80,-57.32,0
0.59,0.10140393,23.660183,0.126257524,0.002312371,-0.08168845,80,-56.34,0
0.61,0.10808928,23.903574,-0.3940824,0.017991154,-0.1628446,80,-56.1,0
0.62,0.11486837,24.8084183,-0.4274035,0.020615675,-0.29420802,80,-55.19,0
0.64,0.12207901,25.89141,0.124372244,-0.002441031,-0.3349706,80,-54.11,0
0.66,0.12942817,27.1817646,0.117997468,0.020770432,-0.345985949,80,-52.82,0
0.67,0.13726815,28.2679539,0.1721858,-0.002984993,-0.329150975,80,-51.73,0
0.69,0.14544331,29.4956818,0.125155136,-0.000275066,-0.349939972,80,-50.5,0
0.71,0.15387162,30.5873375,0.09166158,0.006034909,-0.185304433,80,-49.41,0
0.72,0.16261849,30.6748257,0.011806709,0.008809419,0.046997026,80,-49.33,0
0.74,0.17099549,30.3720741,0.042704925,-0.024003573,0.09585951,80,-49.63,0
0.76,0.17956341,29.9890366,0.09331813,0.002021915,0.100717708,80,-50.01,0
0.77,0.18798502,29.6329937,0.108698756,0.001561708,0.09000561,80,-50.37,0
0.79,0.19635651,29.34421,0.07243759,-0.001865235,0.073107734,80,-50.66,0
0.81,0.20479924,29.16171,-0.530840933,-0.051704817,0.031764295,80,-50.84,0
0.82,0.21054769,29.0504951,0.06972142,-0.000289835,0.027157867,80,-50.95,0
0.84,0.21868478,28.9564514,0.06973937,0.000472556,0.02024535,80,-51.04,0
0.85,0.22683901,28.9434471,0.049399003,0.000736299,-0.007204401,80,-51.06,0
0.88,0.23701882,28.9969368,0.080300964,-0.008046485,-0.012337287,80,-51,0
0.89,0.24529993,29.0595646,0.058011636,0.003396031,-0.02119537,80,-50.94,0
0.91,0.25353328,29.1723461,0.038032524,-0.003251056,-0.037852906,80,-50.83,0
0.92,0.25953232,29.35492,0.025542855,0.001764989,-0.06269901,80,-50.65,0
0.94,0.26779815,29.6281586,-0.341929823,0.03779252,-0.074710056,80,-50.37,0
0.96,0.27817405,29.8989677,0.05515389,0.002382979,-0.0794481,80,-50.1,0
0.98,0.28656912,30.184988,0.0878567,0.009877657,-0.07379448,80,-49.82,0
0.99,0.29510986,30.4593563,-0.184340134,0.024910953,-0.07928213,80,-49.54,0
1.01,0.30372125,30.74697,0.062046416,0.003905726,-0.08041513,80,-49.25,0
1.03,0.31240766,30.21028,0.051698405,0.007247264,0.5912026,80,-49.79,0
1.04,0.31966206,22.4957123,0.04174911,-0.003668944,3.227523,80,-57.5,0
1.06,0.32454198,12.3608913,0.01278896,0.03734458,1.75062108,80,-67.64,0
1.08,0.32759227,9.212894,0.172392935,0.003870082,0.468418062,80,-70.79,0
1.09,0.33002754,8.199125,0.144412071,0.004185336,0.150339589,80,-71.8,0
1.11,0.33226116,7.834849,0.13059637,0.013024805,0.06754545,80,-72.17,0
1.13,0.33449158,7.59170771,0.110426649,-0.000353476,0.08107719,80,-72.41,0
1.15,0.33656025,7.27295256,-0.101964168,-0.000790897,0.08512284,80,-72.73,0
1.16,0.33858875,7.201991,-0.04182771,0.000374883,-0.050671723,80,-72.8,0
1.18,0.3406496,7.62131453,-0.02266684,0.00301892,-0.178071737,80,-72.38,0
1.2,0.34288461,8.201748,-0.028919319,0.016610151,-0.144954085,80,-71.8,0
1.21,0.34528243,8.773975,-0.020277793,-0.021012386,-0.156249911,80,-71.23,0
1.23,0.34786871,9.393056,-0.262594074,0.002684694,-0.1808242,80,-70.61,0
1.25,0.35057705,10.383853,-0.004307843,-0.007363991,-0.385830432,80,-69.62,0
1.26,0.35364392,11.5877447,-0.003962329,0.006295788,-0.169532672,80,-68.41,0
1.28,0.35699441,12.0396681,-0.00537213,-0.020112447,-0.259123534,80,-67.96,0
1.3,0.36059041,13.5192089,-0.252819031,-0.022622943,-0.452618033,80,-66.48,0
1.31,0.36469495,15.2285919,0.002698587,0.001912308,-0.464013964,80,-64.77,0
1.33,0.36914847,16.804697,0.001779435,-0.000961698,-0.4141415,80,-63.2,0
1.35,0.37403993,18.2037773,0.002707486,-0.003278289,-0.332973927,80,-61.8,0
1.36,0.37926574,18.6481781,0.003923814,0.008286672,-0.033189755,80,-61.35,0
1.38,0.38456092,19.28744,0.01901491,0.005689561,-0.246138453,80,-60.71,0
1.4,0.39019711,20.22624,-0.324134946,-0.02416248,-0.2836622,80,-59.77,0
1.42,0.39602482,21.276701,0.04176149,0.000924169,-0.278889775,80,-58.72,0
1.43,0.40207007,22.2491455,0.03380015,0.001633389,-0.263394,80,-57.75,0
1.45,0.4084181,23.0939388,0.047415394,0.003914893,-0.237117365,80,-56.91,0
1.47,0.41495172,23.9010868,0.03194259,0.0093008,-0.214457169,80,-56.1,0
1.48,0.42179566,24.6471062,0.056118954,0.001823387,-0.1843294,80,-55.35,0
1.5,0.42885684,25.2454243,0.042487018,-0.012592171,-0.161059752,80,-54.75,0
1.52,0.43602743,25.8210659,0.029624341,0.002017745,-0.1489772,80,-54.18,0
1.53,0.44331698,26.35069,0.06461315,-0.024106164,-0.132133648,80,-53.65,0
1.55,0.45082331,26.7914639,0.04475755,0.013311906,-0.110635005,80,-53.21,0
1.57,0.45833035,27.15131,0.060112327,-0.053863816,-0.08519091,80,-52.85,0
1.58,0.46610003,27.42598,0.08595591,0.007195903,-0.06195275,80,-52.57,0
1.6,0.47385226,27.6194458,0.13263841,-0.03544911,-0.05457674,80,-52.38,0
1.62,0.48159358,27.8959389,0.057814978,0.036417585,-0.09909604,80,-52.1,0
1.63,0.48950047,28.247694,0.082712695,-0.024284834,-0.09414625,80,-51.75,0
1.65,0.49747734,28.5047245,0.052897405,0.007733082,-0.056739755,80,-51.5,0
1.67,0.50539797,28.6381454,0.141947612,-0.03581097,-0.014861282,80,-51.36,0
1.68,0.51350128,28.61777,-0.297627777,0.001404081,0.050309703,80,-51.38,0
1.7,0.52137477,28.2990322,0.0878365,0.111799181,0.120281681,80,-51.7,0
1.72,0.52926329,27.7694016,-0.593007267,0.2216257,0.137694508,80,-52.23,0
1.73,0.53693779,27.21216,0.071420126,-0.152220786,0.163739517,80,-52.79,0
1.75,0.54458356,26.7050724,0.034607977,0.165544257,0.126885191,80,-53.29,0
1.76,0.55021121,26.3304367,0.007474038,0.08199722,0.06541652,80,-53.67,0
1.79,0.55940065,26.1806469,0.018894937,0.07066739,0.010436898,80,-53.82,0
1.8,0.56679455,26.320385,0.030886464,-0.004861448,-0.054593917,80,-53.68,0
1.82,0.57417803,26.57617,-0.503345549,0.07471526,-0.027550433,80,-53.42,0
1.84,0.58159678,25.6379223,-0.025802778,0.01346517,0.378997177,80,-54.36,0
1.85,0.58859671,24.3120365,-0.04875947,0.037629783,0.353324145,80,-55.69,0
1.87,0.59534429,23.0855865,-0.019391777,-0.010690679,0.326695532,80,-56.91,0
1.89,0.6015695,21.9611855,0.07927394,0.007174461,0.3058893,80,-58.04,0
1.9,0.60759146,20.8827877,-0.035690494,0.000570206,0.303034,80,-59.12,0
